# Source SHA-256: 5d789ae2d414bc6bd2676ff7df29955c308b4b8834b9d0192e6e60d8b270f71b
# page|name|Tank|Damage|Support|Moonstone|Complexity|Range — authored estimates, 0–5
48|The Goblin King|2|4|4|3|3|4
49|The Mortician|2|1|5|2|4|4
50|Herbert Growbottom|2|2|4|4|3|4
51|EL Capitano|2|4|5|3|3|4
52|Swiggarty Swooty|2|3|4|4|3|4
53|Crusty Balboa|3|5|1|3|4|3
54|Goblin Airship|5|3|4|3|3|4
55|Diana, Queen of the fae|2|3|5|3|3|3
56|Belladonna|2|4|2|4|3|4
57|Foxglove|2|4|3|4|3|3
58|Vespa|3|4|2|4|3|3
59|Brother Daniel|2|2|5|3|3|3
60|Kavanagh, the Jongler|3|3|4|3|4|3
61|Kalista, Leshavult Priestess|3|4|4|3|4|4
62|Loubard|5|5|2|1|4|2
63|Boris, The Bunny Summoner|3|4|4|4|5|1
64|Murder Bunny|1|2|1|1|3|1
65|Murder Bunny|1|2|1|1|3|1
66|Murder Bunny|1|2|1|1|3|1
67|Zorya, Dawn Witch|3|4|4|3|4|4
68|Antonia, Noonday Witch|3|4|2|3|3|4
69|Danica, Dusk Witch|2|4|4|3|4|4
70|Chubs|2|3|4|3|3|4
71|Wendigo|3|5|1|4|3|3
72|Gloom|2|3|4|3|4|4
73|Jackalope|3|4|2|4|3|1
74|The Revenant|5|4|3|3|3|4
75|The Beast|3|4|1|2|3|2
76|Anya Bartol|2|2|4|2|5|4
77|Striga Anya|3|5|1|3|4|1
78|Klaus|3|3|5|3|5|2
79|Raegan, Leshavult Priestess|2|3|5|3|5|4
80|Gwendoline, Leshavult Priestess|2|2|5|3|4|4
81|The Duchess|2|2|5|3|3|4
82|Creep|2|3|4|3|4|4
83|Claudia Duvel|3|4|2|4|3|4
84|Peggy|3|4|4|3|3|4
85|Swash|3|4|2|3|3|4
86|Powder Monkey|2|4|4|3|3|2
87|Knoll|5|2|5|2|4|4
88|Bjørn|4|5|1|3|4|2
89|Liv|3|1|5|3|5|4
90|Olim|3|1|5|3|4|3
91|Eric, the Enlightened|3|4|3|3|4|3
92|Dranyer|3|4|3|3|4|4
93|Ruwt|2|3|3|3|4|1
94|Snag|5|3|4|3|4|4
95|Gump|5|4|3|1|3|4
96|Jobie|2|4|3|4|4|3
97|The Tax Collector|2|3|3|5|4|4
98|Portly Pete|4|4|3|3|3|2
99|Brave Sir Pidge|1|1|2|1|3|1
100|Terrible Musician|1|0|3|1|3|3
101|Flay, Bearer of Knowledge|1|0|4|1|3|1
102|Lampy Darkson|1|0|3|1|3|1
103|Jeremy, Lord of the Deep|1|0|3|1|3|1
104|Teacake of Torment|1|0|4|1|3|1
105|Echo of the Forgotten King|5|5|3|2|4|4
106|Serif|2|2|5|2|4|5
107|Greymair|3|3|5|3|4|2
108|Negroli|4|4|3|3|4|1
109|Angerboda|5|5|3|1|3|3
110|Igor, the Servant|2|2|4|2|5|2
111|Viktor Petty, Graverobber|3|3|4|4|4|4
112|Viscount de Faulte|5|4|4|4|4|2
113|Marley|3|3|5|4|4|4
114|Sen'Ara|2|4|4|3|4|5
115|Morag|2|4|3|5|4|4
116|Abra Cadaverous|3|4|3|2|5|2
117|Jerry Heir|3|3|4|3|5|4
118|Roary|3|3|5|4|5|3
119|Nanny|3|2|5|3|5|3
120|Urchin|1|1|2|1|3|1
121|Sprog|1|0|3|1|3|1
122|Pookie|1|0|3|1|3|1
123|Barnakelle|5|4|4|2|5|2
124|Commodore Delahaye|2|3|5|3|4|4
125|Cheepaky|3|3|5|3|4|2
126|Brigid|2|4|4|4|5|4
127|Banshee|2|4|4|4|4|3
128|Iris & Hellebore|2|3|5|3|4|3
129|Dentia|2|3|4|3|4|3
130|Old Polly|3|3|4|3|4|2
131|Prof. Boffinsworth|3|2|5|3|4|4
132|Flinders Memphis|3|1|5|3|5|5
133|Matilda|3|5|2|3|4|2
134|Bejiminy|3|3|3|5|4|1
135|Wenda Wetbones|3|3|5|4|5|3
136|Stilts Kim|2|2|4|5|4|3
137|Syril Swampfoot|2|2|5|4|5|4
138|Streatham|3|3|3|4|4|4
139|Pickles|1|1|4|2|4|1
140|Nancy Priston|2|3|4|4|4|1
141|Skuggi|3|5|2|4|4|3
