# Source SHA-256: 5d789ae2d414bc6bd2676ff7df29955c308b4b8834b9d0192e6e60d8b270f71b
# page|role|play|needs|caution|published source ids
1|Armoured melee anchor and Human leader|Advance before carrying stones; use Rallying Cry to support nearby Humans and threaten favourable sword exchanges.|Eric improves Noble melee, while a healer and mobile collector keep the Baron fighting.|Armour reduces damage, not every direct wound effect. Low energy makes long chases inefficient.|nobles
41|Rogue arcane support and stone thief|Support nearby Rogues with improved arcane and use Squeaking to move an enemy without opening the normal reaction window.|Compatible Rogues convert his aura into reliable casts; a healer supports close-range theft attempts.|Robbery depends on its wound comparison. Soften the intended victim rather than assuming every carrier is stealable.|
42|Norse/Gnome mobile control|Use wooded patches and movement magic to reach awkward stones or dislodge a pursuer; exploit Trickster only when the risk suits the turn.|Gnome healing and Norse support preserve his resources; terrain-aware allies avoid obstructing his route.|Deck-flip defence is uncertain. Keep a safe destination instead of treating a possible escape as guaranteed.|
43|Flying ranged harassment and area denial|Use flight to find firing lanes and the bolt's displacement to disrupt collectors; bomb only where friendly casualties are acceptable.|Mama supports arcane reliability and a specialist harvester compensates for the airship's inability to score directly.|It cannot harvest or use cover normally. Its good mobility does not protect it from accurate ranged attacks.|
44|Giant obstruction and situational burst|Use his large wound pool to contest space, then spend the bickering result on the most valuable nearby attack.|A healer and compatible energy support help overcome his unusually low base energy.|His resource generation is uncertain. Two Heads offers a powerful card choice, but costs energy needed for attacks or steps.|monsters
45|Noble bodyguard and Giant energy support|Position between a Noble and enemy pressure; use Epic Ballads to make nearby Giants more active.|A compatible Noble triggers protection, while another Giant makes the energy support more efficient.|Epic Ballads also grants energy to enemy Giants in the pulse. Check nearby enemies before funding the whole Giant crowd.|
46|Troll melee damage with water utility|Threaten slicing exchanges and use water to improve his energy economy; vomiting supplies an alternative to straight melee.|Knoll supplies lasting Troll recovery, and movement support gets him onto worthwhile targets.|His damage reduction excludes Impact. Do not assume musket fire or heavy Impact attacks will bounce off.|knoll
47|Goblin/Troll artillery and board obstruction|Keep a safe cannon lane and use its push to clear a contested stone; choose shooting over an unproductive chase.|Goblin energy support feeds extra work and Troll healing repairs a dangerous catastrophe.|Slow and low base energy restrict repositioning. Cannon catastrophes can threaten nearby allies.|knoll
48|Goblin leader and protected stone owner|Keep expendable Goblins available for Royal Privilege, use Gimme! to consolidate stones, and time the extra activation for a key turn.|Several Goblins make his protection practical; healing and mobile collectors support the scoring plan.|Rule the Roost wounds the target Goblin, rather than the King. Choose an ally that survives the cost and gains from another activation.|
49|Goblin resurrection and healing support|Keep a useful Reanimate target available and exploit slain models for energy; heal when saving an activation is better than recycling it.|Jobie strongly benefits from a reanimator, while durable Goblins screen the Mortician.|Leaving allies nearly dead can deny death triggers and future energy. Do not assume an opponent will finish your intended target.|community
50|Faerie/Goblin terrain caster|Grow wooded patches, use them for relocation, and threaten Wither when an enemy remains within a useful casting lane.|Goblin energy support or Faerie tools both suit him; healing repairs an exposed caster.|Evolution excludes Grub from the starting troupe. Wood placement must preserve useful routes and line of sight.|
51|Goblin Pirate leader and disengagement support|Keep Goblin Pirates in his energy area and use Run Away! to free an ally for its next shooting or scoring action.|Stu and Swigarty exploit the keyword support; Powder Monkey supplies Pirate healing.|Human Pirates do not automatically receive Goblin-specific benefits. Check the exact keyword restriction before planning the activation.|pirates
52|Pirate energy support and passive borrower|Harvest stones to improve Luv'a da Booty's payoff, then stay close enough for attacking Pirates to use it.|Pirates who actually make melee attacks turn the stone-based energy into pressure; healing protects the carrier.|Carrying stones slows him down. Movement support is essential if the frontline leaves his support range.|pirates
53|Durable Goblin Pirate melee thief|Use reach and shell protection to contest carriers; Pinch and Punch create opportunities to steal or force a better position.|Pirate energy support extends his close-range work and a healer keeps the tough crab contesting.|Check Pinch's conditions before choosing a carrier. Durable does not mean immune to direct wounds or control.|pirates
54|Flying Goblin ranged controller|Pull eligible targets with Sticky Tongue, then use flight to keep clear firing lanes and interfere with collectors.|Goblin energy and healing support improve uptime; real harvesters cover his inability to collect stones.|The tongue has an Evade restriction. He also cannot rely on ordinary cover to survive enemy shooting.|
55|Faerie leader and resource converter|Redistribute energy to the Faerie with the best next action; decide carefully when sacrificing nearby Faerie wounds improves an Arcane action.|Several Faeries make her support flexible; healing restores the wounds spent on empowering the group.|Resource conversion can leave fragile allies easy to finish. Do not bunch everyone up against pulse damage.|faeries
56|Faerie/Rogue movement control and attrition|Use Rogue swaps to alter threatened positions, then poison or acid against a target your team can exploit.|Rogue support improves arcane and Faerie healing sustains repeated close-range interference.|Her dangerous catastrophe can change the whole exchange. Plan around the risk rather than treating the damage as free.|faeries
57|Faerie/Rogue defensive utility and flexible finisher|Protect the ally that must survive, use Atrophy for pressure, and copy the most useful nearby Faerie Rogue signature.|A compatible Faerie Rogue provides a signature worth borrowing; healing and objective support cover his fragility.|Copied signatures depend on the available model and positioning. Weakling limits ordinary melee output.|faeries
58|Faerie/Animal reach fighter|Exploit Out of Reach and the javelin to pressure enemies without accepting every melee exchange; use Antagonize to favour a chosen fight.|Faerie support or compatible Animal healing improves her staying power.|While Out of Reach is active she cannot benefit from cover. Check Out of Reach's actual protection instead of assuming flight prevents all attacks.|faeries
59|Cultist objective support and group movement|Claim a safe stone so Look at the Shiny Thing funds another model; reposition allies and heal clustered wounds when useful.|High-cost Cultist actions benefit from donated energy; a frontliner protects the stone-holding support model.|He cannot give the passive energy to himself. Movement effects need a destination that helps scoring rather than just regrouping.|lesh
60|Cultist/Rogue energy enabler and deck banker|Use Black Comedy to unlock an expensive friendly action, then bank useful cards with Juggling Fate for a planned cast.|A healer repairs the donated wounds; tough allies absorb the cost more comfortably than fragile casters.|Juggling Fate needs its full starting energy before returning any. Avoid an opening plan with no way to reach that threshold.|lesh
61|Cultist/Spirit arcane leader and protective healer|Keep relevant casters in her support area, protect a valuable ally with Caress, and reserve Paroxysm for a favourable cluster.|Cultists or Spirits use her arcane support; an energy source can enable the expensive pulse before deaths occur.|Paroxysm is once per game and also damages nearby allies. Have an energy route ready before relying on deaths to fund it.|lesh
62|Giant/Cultist reach threat|Use his exceptional reach to control a lane, then arrange the energy needed for Righteous Fury before committing.|Cultist energy donors or Pickles can help enable his premium action; healing replenishes a large wound pool.|Blind Faith requires a nearby friend for normal movement and harvesting. Predictable limits bluffing flexibility in melee.|monsters
63|Summoning engine and Animal board control|Build a bunny screen, then use the extra board presence to protect collectors and make fights unfair; summon Jackalope when the budget permits.|In Leshavult, Chubs supplies early energy; in either faction, healing and Animals support the broader plan.|Bunnies spend Boris's energy rather than creating independent activations. Keep their movement budget separate from the next summon.|boris
64|Summoned screen and supporting attacker|Use this bunny to obstruct a route or add an engagement penalty before a better attacker commits.|Boris must stay supplied with energy; a healer helps keep the summoner operating.|It cannot join the starting troupe and has no independent energy. Weakling makes deep harvesting and fair melee poor uses.|boris
65|Summoned objective interference|Place this bunny where it restricts enemy movement, then collect a prepared shallow stone only if the shared energy budget allows.|Boris and efficient friendly harvesters prepare the scoring opportunity.|Its movement and attacks consume Boris's energy. Do not spread the bunny group so far that protecting the summoner becomes difficult.|boris
66|Summoned melee support and space denial|Use this bunny to add another engagement around an intended victim, limiting escape routes before Boris or a stronger friend attacks.|Boris supplies every action; a compatible hitter turns the engagement penalty into meaningful damage.|Its small wound pool is expendable, but its death weakens Boris's next-turn energy generation.|boris
67|Witch melee pressure and catastrophe planner|Stay linked to Antonia, then use Visions of the Future only when the chosen friendly catastrophe benefits your position.|Antonia and Danica complete the Witch engine; healing supports close-range pressure.|Violent Impulse can also help enemies in its area. Plan the entire affected group before deliberately triggering it.|lesh
68|Witch healing and arcane amplifier|Support friendly Witches with casting discounts, heal wounded allies, and use Candy Apples when pulling a target closer is safe.|Danica supports her arcane, while Zorya completes the linked support cycle.|A lure can deliver an enemy threat into your support group. Do not manufacture a catastrophe without checking nearby casualties.|lesh
69|Witch action coordination and deck control|Use Puppet to access the friendly action most valuable now; bank cards when the extra certainty outweighs the wound cost.|Zorya provides recovery and Antonia benefits from her link; a healer makes deck manipulation sustainable.|Puppet uses Danica's resources and retains action restrictions. Copying an expensive option does not supply the missing energy.|lesh
70|Faun/Animal energy donor and healer|Prioritise Rouse to fund a decisive friendly activation, or choose healing and misdirection when protecting the objective is more valuable.|Animals and Fauns convert the energy efficiently; Boris or Jackalope gives the support a clear purpose.|Weakling and limited wounds make a front-line duel inefficient. Leave room to reach the ally that needs support.|boris
71|Mobile magical Faun/Spirit attacker|Use terrain-friendly movement and terror pressure to reach exposed targets; Mind Control can undo a key enemy position.|Hoff improves Faun efficiency, and Spirit support or healing helps maintain pressure.|Do not chase just to inflict damage. His job is to threaten the enemy's scoring route while preserving your own.|
72|Animal movement support and ranged disruption|Move Animals with Whisper to the Wild Things, reposition himself safely, and use Smothering Darkness to pressure awkward targets.|Animal attackers and collectors exploit the movement; energy support can fund several utility actions.|Slow and Weakling limit independent scoring and combat. Keep track of the downside as well as the benefit of a catastrophe.|boris
73|Mobile Animal collector and secondary bruiser|Use Hop to move despite carrier Slow and Burrow to claim deep stones; fight only when protecting or stealing an objective justifies it.|Animal support and healing help in either faction; Leshavult energy donors extend his useful movement.|Burrow cannot solve every engaged position. He is selectable at deployment, so a central plan need not gamble on Boris summoning him.|boris
74|Persistent Noble/Spirit controller|Use hand information and catastrophe pressure to disrupt enemy turns; exploit Undying to remain an awkward board presence.|Healing restores damaged energy dots and a collector handles scoring while he interferes.|Undying drops a carried stone and cannot stop removal from his own killing signature. Nearly fatal wounds can still leave him energy-starved.|lesh
75|Animal/Noble melee deterrent|Use long reach and Terror to punish approaches, then exploit Awake the Beast when an enemy first targets him to improve the response.|Healing and movement support help deliver him; Animal or Noble support depends on the chosen faction.|An opponent can avoid triggering his best bonuses. Do not build the whole turn around being attacked.|
76|Noble support that transforms into a killer|Heal and protect positioning as Anya, then arrange four energy to remove the necklace when Striga has a worthwhile victim.|A compatible energy donor enables transformation; healing matters because wounds carry into the new form.|Transformation is one continuing activation. It does not reset wounds or grant a second Jog if Anya already jogged.|lesh
77|Transformed Spirit melee finisher|Use the transformation's resources to attack a softened enemy, then exploit kill energy or revert when the support form is more valuable.|Anya is the entry route; compatible healing and enemy displacement help secure a profitable fight.|She is not selectable in the starting troupe. Returning to Anya retains wounds, stones and current modifications.|lesh
78|Cultist/Faun melee support and catastrophe enabler|Keep enough Cultists nearby for his melee support, then use his beer trick only when the affected friendly catastrophes are useful.|Raegan and other Cultists exploit his support; a healer repairs risky close-range exchanges.|His defensive protection has conditions. Count nearby keywords and affected models before assuming the combo works.|
79|Cultist/Faun woodland healing and deck shaping|Grow woods for positioning, use Malachite Ritual for useful recovery or energy, and bank cards when catastrophes trigger Expel.|Klaus provides linked protection; wood creators and Cultist support make her terrain plan consistent.|Expel banks newly drawn cards rather than removing every catastrophe. Its storage limit depends on the current turn number.|
80|Faerie/Cultist deck banker and mobile healer|Use Scry to hold a useful card for the right activation; Rejuvenate can repair and reposition an ally at once.|An efficient harvester covers Feeble, while compatible casters profit from a deliberately prepared card.|A banked card is valuable certainty, but spending too long preparing can concede the objective race.|
81|Human/Noble initiative and attrition support|Use initiative pressure to favour the critical turn, then convert a victim's wounds into recovery or energy for your side.|Human allies exploit her support; a durable frontliner gives her time to shape the exchange.|Her healing and energy tools have conditions. Do not rely on an opponent supplying a helpful catastrophe.|
82|Rogue energy drain and exposed-target pressure|Drain an enemy before allies engage, using his victim-related arcane setup to improve follow-up attacks.|Compatible Rogue support improves reliability, while a healer and genuine frontline fighter protect him.|His own melee output is limited. Draining a harmless model matters less than denying the enemy's next decisive action.|
83|Rogue ranged thief and flexible scorer|Use Robbery against a softened carrier and make the most of Brace Yourself to keep pistol pressure efficient.|Rogue arcane support and healing help her operate near objectives; a fighter prepares theft opportunities.|Robbery's comparison must be satisfied. An easy pistol shot should not distract from a reachable scoring play.|
84|Pirate deployment and objective movement support|Choose a self-sufficient Pirate for Treasure Map, then use X Marks the Spot to bring allies onto stones or a vulnerable carrier.|Swash exploits the advance; Powder Monkey and other Pirates balance combat, recovery and collection.|The advanced Pirate is exposed to ranged control. Peggy's own Slow makes careful supporting movement essential.|peggy
85|Pirate melee attacker and Noble hunter|Use reach, buckler and sword damage to dominate favourable engagements; the pistol supplies pressure when an attack lane is unavailable.|Pirate energy and movement support improve his attack economy, while healing keeps him contesting carriers.|Avoid a prolonged chase after collecting stones. Do not spend the whole activation shooting when a safer objective play exists.|
86|Pirate/Animal recovery and flexible support|Choose the mascot effect for the intended Pirate attack or defensive move; heal with rum and bomb only a favourable area.|Pirates exploit his versatile support; a durable fighter lets the monkey work behind the engagement.|Rum changes arcane and bombs threaten nearby friends. Decide whether the stat penalty matters before healing a caster.|
87|Troll regeneration support and long reach|Apply lasting Troll recovery early enough to matter, then exploit Reclusive energy while staying in a useful support position.|Other Trolls make the healing efficient; movement support helps the group reach contested stones.|Reclusive needs spacing. An ally crowding him can remove the energy your next healing sequence requires.|knoll
88|Norse/Gnome wound-powered attacker|Use Bear Charge to disable enemy signatures, then exploit Berserk Fury's wound-scaled damage in a fight he can survive.|Norse healing and movement help manage his resource tradeoffs; a collector frees him to contest.|More wounds can improve output while reducing safety and energy generation. Do not damage him merely to chase a bigger number.|bjorn
89|Norse/Gnome rune support and healer|Protect Norse allies, then use her own Arcane action to arrange unused hand cards for a following pivotal cast.|Olim or Young Jack can prepare her rune flip; a melee anchor screens her while she supports Norse allies and sets up later casts.|The predicted or manipulated result still has timing limits. Plan the actual card sequence rather than assuming blanket reliability.|liv
90|Norse/Gnome objective and deck support|Use Fortunate for a prepared elixir, Fetch for position, and Valhalla movement to support the right attacking ally.|Norse allies and Young Jack use his support; Gnome healing sustains the carrier group.|Bonus Jog distance does not automatically remove Slow. Count the real move before planning a stone escape.|olim
91|Woodland Cultist/Animal melee threat|Start near useful woods for energy, use the javelin at reach, then choose Enchanted Bladestorm for a decisive exchange.|Wood creators enable his energy plan; Cultist support and healing sustain pressure.|Bladestorm trades away the javelin's benefits. Use it for an important fight rather than as an automatic opening buff.|
92|Spirit keyword and movement utility|Borrow a useful keyword with Mimic, then use shared-keyword movement or Cunning to support an ally or disrupt an enemy.|Spirit or Treefolk allies create natural matches; healing support covers aggressive positioning.|Borrowed keywords and swaps need the actual conditions to work. A failed cast can leave the intended escape unavailable.|trees
93|Treefolk woodland engine and survival utility|Place wooded patches to control routes and enable allies, then preserve a created patch as an escape resource.|Other Treefolk exploit his terrain support; healing offsets New Growth's wound payment.|His survival trick consumes eligible woods. Spending every patch on convenience can remove his planned protection.|trees
94|Treefolk/Spirit attrition bruiser|Engage a useful lane and apply Deadwood Curse where discard wounds threaten enemy energy or a late carrier.|Wood support improves routes; healing and slain-friendly triggers help him sustain a contest.|The curse spreads to the target’s friends. Its catastrophe can hurt your own nearby models, so check spacing before casting.|trees
95|Durable Treefolk anchor and pull control|Use forest-linked sustain to hold a scoring lane, then pull enemies where woods and friendly Treefolk make the outcome worthwhile.|Ruwt creates terrain and supports Treefolk; a healer and mobile collector cover the slow anchor.|Ponderous prevents normal reaction steps. Leave him somewhere useful before the opponent begins repositioning.|trees
96|Disposable Goblin objective trick and resurrection target|Use deep-stone tricks to alter an objective, accepting sacrifice when the placement creates a better scoring position.|The Mortician or another compatible reanimator is central to making his repeated deaths productive.|Do not treat him as a self-sufficient collector. Check the exact stone-placement result before sacrificing him.|community
97|Goblin carrier control and stone theft|Tax an enemy carrier to deny movement or drain its energy, then use Friskal Stimulus to favour melee against a heavily loaded victim.|Friendly carriers make Rebate more useful; Goblin allies offer a limited inheritance recovery route.|Inheritance places a depth-one stone nearby instead of handing it directly to him. The enemy can pay to cancel his tax or signature theft.|
98|Goblin/Soldier carrier protector and later-turn fighter|Let another model open the turn, then use his activated-state bonuses and Soldier movement to defend a scoring group.|Goblin carriers and Soldiers exploit his support; a healer preserves his role through repeated contests.|He cannot be your first activation. Your opening plan needs another character with useful work to do.|
99|Summoned armoured distraction and Noble duellist|Use Pidge to occupy a useful engagement or make a Noble spend resources dealing with his challenge.|A legal summoner supplies his actions; Soldier support can make the distraction more credible.|He cannot activate independently and has only one wound. A Noble Challenge prevents his own damage suffered only against a Noble during that action; magical attacks still threaten his one wound.|pomps
100|Summoned debuff and push utility|Position the musician so Din weakens the intended enemy, then push when the shared energy cost protects a scoring play.|Negroli or Roary can bring him in directly; a stronger attacker exploits the debuff.|He uses his summoner's energy and vanishes if that summoner is lost. Do not spend a whole support activation on an irrelevant nuisance.|pomps
101|Summoned arcane reliability support|Stay near the summoner for Tome's arcane boost; use the active knowledge boost when another model's pivotal cast justifies the cost.|Greymair benefits directly from stronger Reanimate; other legal Psychopomp summoners can also create him.|The extra arcane does not create extra energy. Keep the fragile Familiar safe rather than paying to move it into danger.|greymair,pomps
102|Summoned targeting and range support|Move the lamp near the enemy your casters want to affect, making follow-up arcane attempts more reliable.|Greymair brings him in directly, while shooters and control casters exploit his positional effects.|His forward position is vulnerable, and moving him spends the summoner's energy. Pick a target worth exposing the Familiar for.|greymair,pomps
103|Summoned aquatic interference|Use water-friendly movement to reach a useful blocking position, then splash only when the target and terrain satisfy the damage condition.|Sen'Ara naturally supplies both the summon and water; compatible water casters strengthen the setting.|Outside the necessary water position he is mostly a fragile blocker. His actions still consume the summoner's energy.|pomps
